"Rank","Player","Team","BYE","Position-Rank","FF Pts","VOR","ADP ( Average )","ADP Dif ( Average )","ADP (BB10s)","ADP Dif (BB10s)","ADP (CBS)","ADP Dif (CBS)","ADP (Drafters)","ADP Dif (Drafters)","ADP (ESPN)","ADP Dif (ESPN)","ADP (Fantrax)","ADP Dif (Fantrax)","ADP (FFPC)","ADP Dif (FFPC)","ADP (NFFC)","ADP Dif (NFFC)","ADP (NFL)","ADP Dif (NFL)","ADP (Sleeper)","ADP Dif (Sleeper)","ADP (Underdog)","ADP Dif (Underdog)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","ADP (FFPC SF)","ADP Dif (FFPC SF)","ADP (Sleeper SF)","ADP Dif (Sleeper SF)","GC","GC Dif"
"255","Marvin Mims","DEN","10","WR-98","68.4","-93","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","279","24"
"256","Ollie Gordon","MIA","6","RB-83","35.9","-104","227","-29","0","-256","0","-256","279","23","0","-256","271","15","309","53","281","25","0","-256","0","-256","281","25","228","-28","267","11","275","19","0","-256","235","-21"
"257","Pat Bryant","DEN","10","WR-99","52.2","-109","216","-41","0","-257","0","-257","204","-53","0","-257","279","22","270","13","272","15","0","-257","0","-257","202","-55","222","-35","217","-40","244","-13","0","-257","190","-67"
"258","Jahan Dotson","ATL","11","WR-100","56.3","-105","226","-32","0","-258","0","-258","276","18","0","-258","296","38","304","46","300","42","0","-258","0","-258","263","5","209","-49","274","16","295","37","0","-258","331","73"
"259","Malik Davis","DAL","14","RB-84","55.0","-85","276","17","0","-259","0","-259","247","-12","0","-259","283","24","280","21","259","0","0","-259","0","-259","266","7","0","-259","262","3","269","10","0","-259","257","-2"
"260","Noah Gray","KC","5","TE-46","60.4","-93","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","339","79"
"261","Kendre Miller","NO","8","RB-85","46.2","-94","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","289","28"
"262","Devaughn Vele","NO","8","WR-101","75.4","-86","278","16","0","-262","0","-262","254","-8","0","-262","298","36","305","43","265","3","0","-262","0","-262","237","-25","0","-262","269","7","278","16","0","-262","282","20"
"263","Kalif Raymond","CHI","10","WR-102","66.4","-95","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","371","108"
"264","Greg Dortch","DET","6","WR-103","65.9","-95","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","394","130"
"265","Emari Demercado","KC","5","RB-86","46.0","-94","263","-2","0","-265","0","-265","231","-34","0","-265","236","-29","219","-46","246","-19","0","-265","0","-265","278","13","0","-265","251","-14","241","-24","0","-265","293","28"
"266","Devontez Walker","BAL","13","WR-104","72.3","-89","281","15","0","-266","0","-266","255","-11","0","-266","281","15","293","27","294","28","0","-266","0","-266","260","-6","0","-266","272","6","291","25","0","-266","400","134"
"267","Tez Johnson","TB","10","WR-105","64.7","-96","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","329","62"
"268","Brock Wright","DET","6","TE-47","57.1","-97","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","461","193"
"269","Theo Johnson","NYG","8","TE-48","63.6","-90","280","11","0","-269","0","-269","264","-5","0","-269","339","70","235","-34","277","8","0","-269","0","-269","251","-18","0","-269","245","-24","229","-40","0","-269","284","15"
"270","Olamide Zaccheaus","ATL","11","WR-106","64.4","-97","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","336","66"
"271","Malachi Fields","NYG","8","WR-107","43.5","-118","217","-54","0","-271","0","-271","237","-34","248","-23","245","-26","274","3","235","-36","0","-271","0","-271","226","-45","0","-271","218","-53","260","-11","0","-271","268","-3"
"272","Deion Burks","IND","13","WR-108","63.1","-98","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","383","111"
"273","Tommy Tremble","CAR","5","TE-49","54.7","-99","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","384","111"
"274","Tanner Hudson","CIN","6","TE-50","54.6","-99","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","456","182"
"275","Jerome Ford","WAS","7","RB-87","40.9","-99","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","304","29"
"276","Ja'Kobi Lane","BAL","13","WR-109","65.0","-96","279","3","0","-276","0","-276","261","-15","211","-65","0","-276","301","25","350","74","0","-276","0","-276","240","-36","0","-276","261","-15","265","-11","0","-276","311","35"
"277","Luke Musgrave","GB","11","TE-51","52.7","-101","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","378","101"
"278","Emmett Johnson","KC","5","RB-88","6.5","-134","172","-106","0","-278","0","-278","207","-71","267","-11","295","17","173","-105","163","-115","0","-278","0","-278","190","-88","167","-111","189","-89","197","-81","0","-278","196","-82"
"279","Shedeur Sanders","CLE","11","QB-31","161.9","-123","215","-64","0","-279","0","-279","225","-54","220","-59","261","-18","237","-42","254","-25","0","-279","0","-279","230","-49","0","-279","169","-110","173","-106","0","-279","287","8"
"280","Tutu Atwell","MIA","6","WR-110","60.0","-101","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","377","97"
"281","Kendrick Bourne","ARI","14","WR-111","69.3","-92","292","11","0","-281","0","-281","260","-21","0","-281","306","25","348","67","344","63","0","-281","0","-281","288","7","0","-281","293","12","0","-281","0","-281","355","74"
"282","Raheim Sanders","CLE","11","RB-89","38.6","-102","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","364","82"
"283","Elijah Arroyo","SEA","11","TE-52","52.0","-102","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","335","52"
"284","Elijah Sarratt","BAL","13","WR-112","58.9","-102","274","-10","0","-284","0","-284","220","-64","0","-284","327","43","281","-3","296","12","0","-284","0","-284","201","-83","0","-284","253","-31","247","-37","0","-284","254","-30"
"285","Adam Randall","BAL","13","RB-90","37.0","-103","270","-15","0","-285","0","-285","256","-29","0","-285","0","-285","257","-28","260","-25","0","-285","0","-285","262","-23","227","-58","255","-30","250","-35","0","-285","303","18"
"286","Elic Ayomanor","TEN","9","WR-113","58.5","-102","273","-13","0","-286","0","-286","266","-20","0","-286","248","-38","0","-286","292","6","0","-286","0","-286","284","-2","226","-60","289","3","305","19","0","-286","242","-44"
"287","Jeremy McNichols","WAS","7","RB-91","37.8","-102","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","413","126"
"288","Chris Brazzell II","CAR","5","WR-114","58.0","-103","277","-11","0","-288","0","-288","263","-25","0","-288","263","-25","306","18","284","-4","0","-288","0","-288","221","-67","0","-288","265","-23","273","-15","0","-288","267","-21"
"289","John Metchie","CAR","5","WR-115","57.2","-104","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","357","68"
"290","Mack Hollins","NE","11","WR-116","57.1","-104","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","294","4"
"291","Elijah Higgins","ARI","14","TE-53","49.0","-105","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","392","101"
"292","Chimere Dike","TEN","9","WR-117","50.7","-110","269","-23","0","-292","0","-292","265","-27","0","-292","268","-24","0","-292","261","-31","0","-292","0","-292","257","-35","208","-84","290","-2","308","16","0","-292","220","-72"
"293","Seth McGowan","IND","13","RB-92","35.2","-105","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","229","-64"
"294","Mitchell Tinsley","CIN","6","WR-118","56.0","-105","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","428","134"
"295","Tory Horton","SEA","11","WR-119","49.2","-112","272","-23","0","-295","0","-295","270","-25","0","-295","262","-33","272","-23","273","-22","0","-295","0","-295","234","-61","0","-295","257","-38","252","-43","0","-295","259","-36"
"296","Tyler Goodson","ATL","11","RB-93","35.1","-105","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","447","151"
"297","Roman Wilson","PIT","9","WR-120","55.2","-106","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","438","141"
"298","Tahj Brooks","CIN","6","RB-94","33.9","-106","287","-11","0","-298","0","-298","259","-39","0","-298","0","-298","324","26","328","30","0","-298","0","-298","317","19","245","-53","286","-12","297","-1","0","-298","309","11"
"299","LeQuint Allen","JAX","7","RB-95","27.6","-113","271","-28","0","-299","0","-299","248","-51","0","-299","260","-39","276","-23","269","-30","0","-299","0","-299","258","-41","0","-299","256","-43","251","-48","0","-299","281","-18"
"300","Jalen Royals","KC","5","WR-121","54.3","-107","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","326","26"
"301","Ronnie Rivers","LAR","11","RB-96","32.0","-108","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","463","162"
"302","Demond Claiborne","MIN","6","RB-97","3.9","-136","211","-91","0","-302","0","-302","221","-81","0","-302","333","31","181","-121","199","-103","0","-302","0","-302","224","-78","196","-106","195","-107","204","-98","0","-302","271","-31"
"303","Xavier Hutchinson","HOU","8","WR-122","52.2","-109","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","349","46"
"304","Mitchell Evans","CAR","5","TE-54","44.9","-109","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","397","93"
"305","Keon Coleman","BUF","7","WR-123","37.6","-123","260","-45","0","-305","0","-305","200","-105","0","-305","257","-48","269","-36","253","-52","0","-305","0","-305","208","-97","0","-305","249","-56","236","-69","0","-305","243","-62"
"306","Isaac Guerendo","SF","8","RB-98","30.9","-109","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","312","6"
"307","Roschon Johnson","CHI","10","RB-99","30.9","-109","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","404","97"
"308","Jam Miller","NE","11","RB-100","30.5","-110","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","402","94"
"309","Kaleb Johnson","PIT","9","RB-101","26.2","-114","290","-19","0","-309","0","-309","0","-309","0","-309","311","2","332","23","341","32","0","-309","0","-309","325","16","187","-122","292","-17","310","1","0","-309","277","-32"
"310","Pierre Strong Jr.","GB","11","RB-102","29.4","-111","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","515","205"
"311","Tim Patrick","NYJ","13","WR-124","49.3","-112","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","465","154"
"312","Jacob Saylors","DET","6","RB-103","28.4","-112","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","486","174"
"313","Dyami Brown","WAS","7","WR-125","49.2","-112","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","401","88"
"314","Hunter Luepke","DAL","14","RB-104","26.6","-114","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","442","128"
"315","Jackson Hawes","BUF","7","TE-55","39.4","-114","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","460","145"
"316","Brittain Brown","CHI","10","RB-105","23.6","-117","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","478","162"
"317","Michael Penix Jr.","ATL","11","QB-32","153.2","-132","268","-49","0","-317","0","-317","229","-88","0","-317","280","-37","248","-69","251","-66","0","-317","0","-317","238","-79","0","-317","229","-88","163","-154","0","-317","275","-42"
"318","Demarcus Robinson","SF","8","WR-126","43.3","-118","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","426","108"
"319","Will Shipley","PHI","10","RB-106","22.3","-118","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","323","4"
"320","Foster Moreau","HOU","8","TE-56","35.6","-118","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","541","221"
"321","Trevor Etienne","CAR","5","RB-107","20.9","-119","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","305","-16"
"322","Konata Mumpfield","LAR","11","WR-127","40.4","-121","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","327","5"
"323","Adam Trautman","DEN","10","TE-57","33.0","-121","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","431","108"
"324","Durham Smythe","BAL","13","TE-58","33.0","-121","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","469","145"
"325","Demario Douglas","NE","11","WR-128","40.0","-121","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","356","31"
"326","Drew Sample","CIN","6","TE-59","32.4","-121","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","455","129"
"327","Jaret Patterson","LAC","7","RB-108","18.3","-122","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","420","93"
"328","Savion Williams","GB","11","WR-129","38.9","-122","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","368","40"
"329","Brenen Thompson","LAC","7","WR-130","38.8","-122","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","346","17"
"330","Luke Schoonmaker","DAL","14","TE-60","31.3","-122","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","435","105"
"331","Ben Sinnott","WAS","7","TE-61","31.0","-123","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","380","49"
"332","Colbie Young","CIN","6","WR-131","38.1","-123","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","425","93"
"333","Dont'e Thornton","LV","13","WR-132","38.1","-123","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","350","17"
"334","De'Zhaun Stribling","SF","8","WR-133","16.5","-144","252","-82","0","-334","0","-334","190","-144","0","-334","312","-22","194","-140","219","-115","0","-334","0","-334","171","-163","0","-334","237","-97","208","-126","0","-334","191","-143"
"335","Jahdae Walker","CHI","10","WR-134","37.8","-123","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","437","102"
"336","Skyler Bell","BUF","7","WR-135","8.9","-152","232","-104","0","-336","0","-336","277","-59","250","-86","284","-52","317","-19","321","-15","0","-336","0","-336","244","-92","0","-336","263","-73","270","-66","0","-336","313","-23"
"337","Jaleel McLaughlin","DEN","10","RB-109","16.8","-123","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","310","-27"
"338","Ted Hurst","TB","10","WR-136","16.4","-145","256","-82","0","-338","0","-338","208","-130","0","-338","225","-113","243","-95","256","-82","0","-338","0","-338","197","-141","0","-338","247","-91","233","-105","0","-338","207","-131"
"339","Daniel Bellinger","TEN","9","TE-62","29.1","-125","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","391","52"
"340","Will Kacmarek","MIA","6","TE-63","29.0","-125","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","477","137"
"341","Eli Raridon","NE","11","TE-64","14.9","-139","286","-55","0","-341","0","-341","258","-83","312","-29","0","-341","297","-44","306","-35","0","-341","0","-341","267","-74","0","-341","260","-81","261","-80","0","-341","372","31"
"342","Lan Larison","NE","11","RB-110","15.0","-125","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","513","171"
"343","Nick Westbrook-Ikhine","IND","13","WR-137","35.3","-126","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","369","26"
"344","Nathan Carter","ATL","11","RB-111","14.5","-126","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","569","225"
"345","Scott Matlock","LAC","7","RB-112","13.8","-126","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--"
"346","Cedric Tillman","CLE","11","WR-138","34.2","-127","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","325","-21"
"347","J.J. McCarthy","MIN","6","QB-33","27.8","-257","228","-119","0","-347","0","-347","217","-130","226","-121","323","-24","299","-48","319","-28","0","-347","0","-347","282","-65","0","-347","246","-101","230","-117","0","-347","328","-19"
"348","Mo Alie-Cox","IND","13","TE-65","26.6","-127","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","436","88"
"349","Jonathan Mingo","DAL","14","WR-139","33.4","-128","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","593","244"
"350","Julian Hill","NE","11","TE-66","25.8","-128","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","550","200"
"351","Oscar Delp","NO","8","TE-67","24.0","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","247","-104"
"352","Justin Fields","KC","5","QB-34","28.2","-257","238","-114","0","-352","0","-352","234","-118","262","-90","322","-30","310","-42","336","-16","0","-352","0","-352","294","-58","0","-352","258","-94","256","-96","0","-352","354","2"
"353","Justin Joly","DEN","10","TE-68","23.9","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","367","14"
"354","Josh Whyle","GB","11","TE-69","23.9","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","685","331"
"355","Will Mallory","IND","13","TE-70","23.8","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","526","171"
"356","Tua Tagovailoa","ATL","11","QB-35","95.1","-190","251","-105","0","-356","0","-356","195","-161","0","-356","247","-109","215","-141","217","-139","0","-356","0","-356","206","-150","0","-356","122","-234","122","-234","0","-356","251","-105"
"357","Ian Thomas","LV","13","TE-71","23.5","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","683","326"
"358","Terrell Jennings","NE","11","RB-113","10.0","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","424","66"
"359","Davis Allen","LAR","11","TE-72","23.4","-130","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","709","350"
"360","Seydou Traore","MIA","6","TE-73","23.0","-131","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","568","208"
"361","Eli Heidenreich","PIT","9","RB-114","9.4","-131","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","340","-21"
"362","Riley Nowakowski","PIT","9","TE-74","22.8","-131","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","553","191"
"363","Carson Beck","ARI","14","QB-36","9.1","-276","229","-134","0","-363","0","-363","253","-110","261","-102","325","-38","294","-69","283","-80","0","-363","0","-363","252","-111","0","-363","238","-125","213","-150","0","-363","343","-20"
"364","Brevyn Spann-Ford","DAL","14","TE-75","22.6","-131","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","679","315"
"365","Kyle Williams","NE","11","WR-140","29.8","-131","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","300","-65"
"366","Deshaun Watson","CLE","11","QB-37","47.1","-238","266","-100","0","-366","0","-366","216","-150","0","-366","316","-50","226","-140","249","-117","0","-366","0","-366","232","-134","0","-366","228","-138","154","-212","0","-366","298","-68"
"367","Erick All","CIN","6","TE-76","22.3","-131","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","382","15"
